Number_Plate,Vehicle_Type,Part_Name,Category,Supplier,Purchase_Cost,Service_Date,Issue_Reported
KCH 302M,Tractor,Brake Pads,Braking System,JKT,12509.36,2024-07-01,Brake failure
KCH 302M,Tractor,Radiator,Cooling System,Aeolus,9948.2,2025-02-17,Hydraulic issue
KBU 214Z,Tractor,Air Filter,Air Intake,TurboTraders,14572.21,2024-11-26,Brake failure
KBU 214Z,Tractor,Hydraulic Pump,Hydraulics,MechWorks,6103.4,2024-12-21,Tyre worn out
KBU 214Z,Tractor,Battery,Electrical,Goodyear,14564.75,2025-06-08,Hydraulic issue
KBU 214Z,Tractor,Hydraulic Pump,Hydraulics,SpareHub,4202.68,2025-02-11,Hydraulic issue
KBU 642N,Tractor,Oil Filter,Engine,TechFix,2378.91,2025-02-11,Tyre worn out
KBU 642N,Tractor,Oil Filter,Engine,Gallant,3934.32,2025-02-14,Hydraulic issue
KBU 642N,Tractor,Tyre,Wheels,JKT,4008.13,2024-07-23,Engine noise
KBU 642N,Tractor,Alternator,Electrical,HeavyDuty Supplies,13981.97,2024-11-12,Battery issue
KBU 735R,Tractor,Tyre,Wheels,JKT,1956.63,2024-10-02,Electrical fault
KBU 735R,Tractor,Oil Filter,Engine,HeavyDuty Supplies,13129.07,2024-09-09,Hydraulic issue
KBU 735R,Tractor,Radiator,Cooling System,AutoPro Ltd,8325.15,2024-12-24,Hydraulic issue
KBU 735R,Tractor,Air Filter,Air Intake,TurboTraders,12539.04,2024-08-10,Hydraulic issue
KBN 913N,Tractor,Tyre,Wheels,BKT,13765.4,2024-12-09,Tyre worn out
KBN 913N,Tractor,Tyre,Wheels,BKT,3489.83,2025-05-06,Electrical fault
KBN 913N,Tractor,Hydraulic Pump,Hydraulics,TurboTraders,11339.33,2024-09-09,Battery issue
KBN 913N,Tractor,Fuel Pump,Fuel System,DieselParts,3763.1,2024-07-31,Tyre worn out
KDA 771F,Tractor,Radiator,Cooling System,MechWorks,5159.35,2025-04-20,Engine noise
KDA 771F,Tractor,Brake Pads,Braking System,DieselParts,2610.3,2024-07-22,Overheating
KDA 771F,Tractor,Alternator,Electrical,MechWorks,11220.93,2024-06-25,Hydraulic issue
KDA 771F,Tractor,Radiator,Cooling System,Goodyear,12998.19,2025-04-20,Brake failure
KDA 771F,Tractor,Fuel Pump,Fuel System,Gallant,10145.27,2024-08-29,Battery issue
KDA 771F,Tractor,Spark Plug,Ignition,HeavyDuty Supplies,14378.07,2024-09-18,Routine service
KDA 771F,Tractor,Spark Plug,Ignition,HeavyDuty Supplies,3621.4,2024-10-01,Overheating
KBX 677C,Tractor,Fuel Pump,Fuel System,DieselParts,3227.19,2025-01-10,Routine service
KBX 677C,Tractor,Alternator,Electrical,PowerAuto,10987.98,2024-08-14,Hydraulic issue
KBX 677C,Tractor,Radiator,Cooling System,JKT,2226.01,2024-10-16,Engine noise
KBX 677C,Tractor,Brake Pads,Braking System,SpareHub,2134.57,2025-02-12,Electrical fault
KBX 677C,Tractor,Brake Pads,Braking System,HeavyDuty Supplies,9130.2,2024-12-07,Engine noise
KBX 677C,Tractor,Battery,Electrical,BKT,12538.55,2024-07-19,Low power
KBX 677C,Tractor,Tyre,Wheels,Goodyear,13389.13,2025-02-05,Overheating
KBU 987U,Tractor,Oil Filter,Engine,SpareHub,8744.09,2024-10-06,Battery issue
KBU 987U,Tractor,Air Filter,Air Intake,HeavyDuty Supplies,7094.29,2025-02-27,Engine noise
KBU 987U,Tractor,Brake Pads,Braking System,AutoPro Ltd,9645.22,2025-04-30,Battery issue
KBU 987U,Tractor,Tyre,Wheels,Goodyear,1607.17,2025-03-09,Battery issue
KBU 286G,Tractor,Spark Plug,Ignition,HeavyDuty Supplies,11571.79,2024-08-13,Engine noise
KBU 286G,Tractor,Radiator,Cooling System,PowerAuto,10055.34,2024-10-17,Electrical fault
KBU 286G,Tractor,Oil Filter,Engine,TechFix,11830.26,2024-08-16,Oil leak
KBU 286G,Tractor,Hydraulic Pump,Hydraulics,Goodyear,5661.27,2025-05-01,Oil leak
KDM 819M,Tractor,Hydraulic Pump,Hydraulics,BKT,11618.0,2024-07-10,Low power
KDM 819M,Tractor,Air Filter,Air Intake,FarmEquip Co,4297.63,2025-03-23,Overheating
KDM 819M,Tractor,Oil Filter,Engine,FarmEquip Co,8471.84,2024-12-12,Low power
KDM 819M,Tractor,Oil Filter,Engine,Gallant,4526.39,2025-06-03,Hydraulic issue
KDM 819M,Tractor,Air Filter,Air Intake,SpareHub,10375.7,2024-12-24,Battery issue
KDL 408K,Tractor,Hydraulic Pump,Hydraulics,TurboTraders,10681.69,2024-11-29,Low power
KDL 408K,Tractor,Oil Filter,Engine,AutoPro Ltd,11774.13,2024-10-25,Engine noise
KDL 408K,Tractor,Spark Plug,Ignition,HeavyDuty Supplies,7507.19,2025-04-29,Engine noise
KDL 408K,Tractor,Fuel Pump,Fuel System,Goodyear,14374.3,2025-06-06,Hydraulic issue
KDL 408K,Tractor,Oil Filter,Engine,Gallant,3951.86,2024-08-01,Oil leak
KDL 408K,Tractor,Tyre,Wheels,Goodyear,12588.85,2025-05-23,Low power
KBN 380Z,Tractor,Battery,Electrical,Goodyear,6849.52,2024-07-07,Battery issue
KBN 380Z,Tractor,Brake Pads,Braking System,PartsPlus,11785.44,2025-04-12,Engine noise
KBN 380Z,Tractor,Hydraulic Pump,Hydraulics,FarmEquip Co,3843.72,2025-04-01,Tyre worn out
KBN 380Z,Tractor,Hydraulic Pump,Hydraulics,Aeolus,8635.79,2024-07-12,Tyre worn out
KBN 380Z,Tractor,Brake Pads,Braking System,PowerAuto,9297.38,2025-03-23,Battery issue
KBN 812D,Tractor,Radiator,Cooling System,Goodyear,7037.84,2024-11-11,Engine noise
KBN 812D,Tractor,Spark Plug,Ignition,MechWorks,1728.1,2025-01-28,Routine service
KBN 812D,Tractor,Spark Plug,Ignition,PowerAuto,10208.92,2025-05-14,Overheating
KBN 812D,Tractor,Radiator,Cooling System,TurboTraders,13000.78,2024-08-06,Low power
KBN 812D,Tractor,Oil Filter,Engine,JKT,2314.63,2025-05-21,Electrical fault
KBN 812D,Tractor,Hydraulic Pump,Hydraulics,Aeolus,12843.89,2025-04-24,Brake failure
KBN 812D,Tractor,Tyre,Wheels,Aeolus,6111.44,2024-09-27,Engine noise
KBN 812D,Tractor,Air Filter,Air Intake,MechWorks,9925.43,2025-02-07,Overheating
KDG 173R,Tractor,Alternator,Electrical,AutoPro Ltd,4176.86,2025-02-15,Brake failure
KDG 173R,Tractor,Oil Filter,Engine,TechFix,4933.86,2024-08-05,Tyre worn out
KDG 173R,Tractor,Tyre,Wheels,JKT,6923.0,2024-09-12,Battery issue
KDG 173R,Tractor,Air Filter,Air Intake,Aeolus,12393.31,2025-01-08,Overheating
KDG 173R,Tractor,Alternator,Electrical,MechWorks,6210.91,2025-01-14,Oil leak
KDJ 259D,Tractor,Battery,Electrical,JKT,9203.85,2025-01-29,Hydraulic issue
KDJ 259D,Tractor,Alternator,Electrical,PartsPlus,9617.3,2025-04-08,Brake failure
KDJ 259D,Tractor,Brake Pads,Braking System,Aeolus,10306.86,2024-12-22,Engine noise
KDJ 259D,Tractor,Air Filter,Air Intake,TechFix,2721.8,2025-03-01,Oil leak
KDG 248D,Tractor,Spark Plug,Ignition,FarmEquip Co,8131.28,2025-02-04,Electrical fault
KDG 248D,Tractor,Battery,Electrical,PartsPlus,14108.23,2025-03-01,Electrical fault
KDG 248D,Tractor,Oil Filter,Engine,PartsPlus,3419.57,2025-03-01,Hydraulic issue
KDG 248D,Tractor,Alternator,Electrical,FarmEquip Co,12548.78,2024-09-08,Low power
KDG 248D,Tractor,Radiator,Cooling System,Gallant,4720.85,2025-01-12,Overheating
KDG 248D,Tractor,Tyre,Wheels,Goodyear,11495.87,2024-08-10,Battery issue
KDG 248D,Tractor,Spark Plug,Ignition,TurboTraders,5354.11,2024-11-24,Engine noise
KDG 248D,Tractor,Air Filter,Air Intake,Goodyear,14752.19,2025-03-25,Hydraulic issue
KDJ 511D,Tractor,Radiator,Cooling System,PowerAuto,1667.34,2025-05-23,Brake failure
KDJ 511D,Tractor,Alternator,Electrical,HeavyDuty Supplies,4218.35,2024-08-26,Oil leak
KDJ 511D,Tractor,Brake Pads,Braking System,Gallant,9125.47,2024-10-31,Low power
KDJ 511D,Tractor,Radiator,Cooling System,PowerAuto,7663.92,2024-11-06,Hydraulic issue
KDJ 511D,Tractor,Brake Pads,Braking System,DieselParts,3116.56,2024-09-18,Electrical fault
KDJ 511D,Tractor,Oil Filter,Engine,JKT,3793.47,2024-10-26,Routine service
KBX 312D,Tractor,Radiator,Cooling System,Gallant,1990.19,2025-01-12,Brake failure
KBX 312D,Tractor,Alternator,Electrical,PowerAuto,11294.97,2024-07-27,Low power
KBX 312D,Tractor,Hydraulic Pump,Hydraulics,Aeolus,12794.31,2024-07-18,Routine service
KBX 312D,Tractor,Hydraulic Pump,Hydraulics,JKT,8162.9,2024-10-04,Battery issue
KBX 312D,Tractor,Alternator,Electrical,MechWorks,7963.58,2024-12-05,Engine noise
KBX 312D,Tractor,Battery,Electrical,PartsPlus,5810.93,2024-12-26,Engine noise
KBU 706K,Tractor,Hydraulic Pump,Hydraulics,HeavyDuty Supplies,14486.0,2024-08-08,Low power
KBU 706K,Tractor,Radiator,Cooling System,BKT,5661.59,2025-06-07,Tyre worn out
KBU 706K,Tractor,Radiator,Cooling System,FarmEquip Co,3537.52,2024-12-10,Electrical fault
KBU 706K,Tractor,Fuel Pump,Fuel System,DieselParts,1808.36,2025-05-18,Battery issue
KBU 706K,Tractor,Air Filter,Air Intake,Aeolus,4441.0,2024-12-04,Routine service
KDA 573N,Tractor,Oil Filter,Engine,JKT,3553.69,2025-05-31,Oil leak
KDA 573N,Tractor,Brake Pads,Braking System,SpareHub,13130.87,2025-04-27,Battery issue
KDA 573N,Tractor,Alternator,Electrical,TurboTraders,13377.95,2024-08-08,Routine service
KDA 573N,Tractor,Battery,Electrical,Gallant,11016.81,2025-01-22,Brake failure
KDA 573N,Tractor,Air Filter,Air Intake,TurboTraders,3396.3,2025-01-15,Oil leak
KDA 573N,Tractor,Tyre,Wheels,Gallant,9070.13,2024-08-12,Engine noise
KDA 573N,Tractor,Spark Plug,Ignition,Gallant,8265.75,2024-07-22,Overheating
KDA 573N,Tractor,Tyre,Wheels,Aeolus,6913.1,2025-04-24,Battery issue
KCH 132Y,Tractor,Fuel Pump,Fuel System,Aeolus,8245.15,2024-06-29,Low power
KCH 132Y,Tractor,Tyre,Wheels,Aeolus,13100.77,2025-02-27,Tyre worn out
KCH 132Y,Tractor,Spark Plug,Ignition,HeavyDuty Supplies,7141.55,2024-11-23,Low power
KCH 132Y,Tractor,Battery,Electrical,Goodyear,3265.58,2025-05-31,Engine noise
KCH 132Y,Tractor,Air Filter,Air Intake,AutoPro Ltd,12447.27,2024-10-05,Routine service
KCH 132Y,Tractor,Hydraulic Pump,Hydraulics,BKT,8629.87,2025-01-14,Overheating
KCH 132Y,Tractor,Oil Filter,Engine,TechFix,8809.08,2024-09-24,Hydraulic issue
KCH 132Y,Tractor,Hydraulic Pump,Hydraulics,DieselParts,6703.41,2024-09-25,Electrical fault
KDM 386H,Tractor,Air Filter,Air Intake,AutoPro Ltd,7026.33,2025-06-06,Overheating
KDM 386H,Tractor,Battery,Electrical,MechWorks,14243.39,2025-01-13,Overheating
KDM 386H,Tractor,Fuel Pump,Fuel System,DieselParts,6986.79,2025-02-12,Oil leak
KDM 386H,Tractor,Brake Pads,Braking System,AutoPro Ltd,3573.93,2025-01-21,Electrical fault
KBU 517F,Tractor,Hydraulic Pump,Hydraulics,MechWorks,2111.47,2025-05-05,Oil leak
KBU 517F,Tractor,Fuel Pump,Fuel System,SpareHub,12057.94,2025-04-12,Routine service
KBU 517F,Tractor,Tyre,Wheels,Gallant,7789.99,2025-06-09,Oil leak
KBU 517F,Tractor,Hydraulic Pump,Hydraulics,Goodyear,5029.3,2025-03-31,Brake failure
KBU 517F,Tractor,Oil Filter,Engine,PowerAuto,5067.89,2024-09-03,Low power
KBU 517F,Tractor,Radiator,Cooling System,AutoPro Ltd,8533.78,2025-03-14,Tyre worn out
KBU 517F,Tractor,Oil Filter,Engine,TurboTraders,4664.66,2025-05-05,Oil leak
KBU 820P,Tractor,Spark Plug,Ignition,Gallant,4809.33,2024-06-28,Battery issue
KBU 820P,Tractor,Battery,Electrical,HeavyDuty Supplies,8917.26,2024-10-25,Oil leak
KBU 820P,Tractor,Spark Plug,Ignition,JKT,14368.32,2025-05-28,Brake failure
KBU 820P,Tractor,Radiator,Cooling System,PowerAuto,14347.12,2024-09-26,Oil leak
KBU 820P,Tractor,Fuel Pump,Fuel System,JKT,6879.52,2025-02-21,Electrical fault
KBU 820P,Tractor,Oil Filter,Engine,DieselParts,6321.5,2024-10-10,Battery issue
KCC 295P,Tractor,Hydraulic Pump,Hydraulics,SpareHub,2159.83,2024-11-22,Routine service
KCC 295P,Tractor,Brake Pads,Braking System,MechWorks,9333.53,2025-03-26,Brake failure
KCC 295P,Tractor,Tyre,Wheels,Goodyear,2154.81,2025-04-04,Hydraulic issue
KCC 295P,Tractor,Radiator,Cooling System,SpareHub,14322.53,2025-06-03,Battery issue
KCC 295P,Tractor,Spark Plug,Ignition,DieselParts,8533.19,2025-03-23,Low power
KCC 295P,Tractor,Battery,Electrical,JKT,14347.91,2024-06-26,Oil leak
KBZ 232N,Tractor,Battery,Electrical,JKT,14121.9,2025-04-29,Oil leak
KBZ 232N,Tractor,Alternator,Electrical,TurboTraders,12142.29,2024-06-25,Electrical fault
KBZ 232N,Tractor,Oil Filter,Engine,FarmEquip Co,8087.9,2024-07-04,Battery issue
KBZ 232N,Tractor,Radiator,Cooling System,HeavyDuty Supplies,12316.95,2024-11-26,Brake failure
KBZ 232N,Tractor,Battery,Electrical,SpareHub,12115.67,2025-03-16,Low power
KBZ 232N,Tractor,Fuel Pump,Fuel System,Goodyear,4505.59,2024-07-10,Battery issue
KDG 505X,Tractor,Spark Plug,Ignition,BKT,13293.72,2024-12-22,Hydraulic issue
KDG 505X,Tractor,Oil Filter,Engine,Gallant,13756.35,2024-10-14,Brake failure
KDG 505X,Tractor,Hydraulic Pump,Hydraulics,HeavyDuty Supplies,12981.58,2025-04-17,Low power
KDG 505X,Tractor,Fuel Pump,Fuel System,BKT,5374.02,2024-10-17,Brake failure
KDJ 932A,Tractor,Spark Plug,Ignition,FarmEquip Co,6500.51,2024-07-21,Routine service
KDJ 932A,Tractor,Fuel Pump,Fuel System,SpareHub,5242.95,2025-04-26,Tyre worn out
KDJ 932A,Tractor,Radiator,Cooling System,DieselParts,14460.83,2024-07-05,Battery issue
KDJ 932A,Tractor,Battery,Electrical,BKT,8713.06,2025-02-12,Low power
KDJ 932A,Tractor,Oil Filter,Engine,BKT,9585.11,2025-05-04,Low power
KDJ 932A,Tractor,Battery,Electrical,BKT,13839.81,2025-04-01,Oil leak
KDJ 932A,Tractor,Spark Plug,Ignition,FarmEquip Co,12320.52,2024-08-20,Tyre worn out
KCH 807V,Tractor,Brake Pads,Braking System,SpareHub,6846.57,2024-10-08,Battery issue
KCH 807V,Tractor,Fuel Pump,Fuel System,DieselParts,13422.15,2024-07-15,Hydraulic issue
KCH 807V,Tractor,Air Filter,Air Intake,BKT,6948.27,2024-09-26,Brake failure
KCH 807V,Tractor,Brake Pads,Braking System,PartsPlus,8825.76,2024-07-17,Tyre worn out
KCH 807V,Tractor,Air Filter,Air Intake,HeavyDuty Supplies,11318.33,2024-12-21,Low power
KCH 807V,Tractor,Hydraulic Pump,Hydraulics,Goodyear,8540.92,2024-07-04,Overheating
KCC 572E,Tractor,Radiator,Cooling System,JKT,6776.82,2025-03-28,Routine service
KCC 572E,Tractor,Tyre,Wheels,Gallant,8975.26,2024-09-09,Battery issue
KCC 572E,Tractor,Hydraulic Pump,Hydraulics,PartsPlus,14722.69,2024-11-13,Brake failure
KCC 572E,Tractor,Fuel Pump,Fuel System,SpareHub,2422.34,2024-06-25,Hydraulic issue
KCC 572E,Tractor,Battery,Electrical,SpareHub,3643.41,2024-10-18,Battery issue
KCC 572E,Tractor,Brake Pads,Braking System,Goodyear,4681.6,2024-08-15,Oil leak
KCC 572E,Tractor,Hydraulic Pump,Hydraulics,DieselParts,9695.5,2024-07-06,Oil leak
KCC 572E,Tractor,Fuel Pump,Fuel System,Aeolus,13201.56,2024-10-31,Hydraulic issue
KBU 278H,Tractor,Fuel Pump,Fuel System,FarmEquip Co,11920.01,2025-03-08,Battery issue
KBU 278H,Tractor,Oil Filter,Engine,Aeolus,11399.65,2024-07-14,Electrical fault
KBU 278H,Tractor,Spark Plug,Ignition,JKT,4194.02,2024-11-23,Brake failure
KBU 278H,Tractor,Alternator,Electrical,DieselParts,2482.11,2025-02-01,Battery issue
KBU 278H,Tractor,Oil Filter,Engine,TechFix,10740.23,2025-05-12,Electrical fault
KBU 278H,Tractor,Tyre,Wheels,BKT,8114.29,2025-05-07,Routine service
KBU 278H,Tractor,Tyre,Wheels,Goodyear,10304.89,2024-12-26,Electrical fault
KDJ 576Y,Tractor,Alternator,Electrical,DieselParts,12294.69,2024-10-07,Overheating
KDJ 576Y,Tractor,Spark Plug,Ignition,FarmEquip Co,7055.84,2024-11-07,Oil leak
KDJ 576Y,Tractor,Hydraulic Pump,Hydraulics,FarmEquip Co,5821.03,2025-06-13,Oil leak
KDJ 576Y,Tractor,Oil Filter,Engine,AutoPro Ltd,13729.22,2025-01-26,Low power
KDJ 576Y,Tractor,Air Filter,Air Intake,Aeolus,2704.72,2025-04-13,Overheating
KDM 212D,Tractor,Oil Filter,Engine,BKT,5839.22,2024-07-21,Oil leak
KDM 212D,Tractor,Alternator,Electrical,Goodyear,5981.59,2025-01-02,Brake failure
KDM 212D,Tractor,Brake Pads,Braking System,PartsPlus,6081.08,2024-06-20,Overheating
KDM 212D,Tractor,Spark Plug,Ignition,TechFix,11892.69,2025-03-24,Brake failure
KDM 212D,Tractor,Brake Pads,Braking System,FarmEquip Co,14786.29,2024-08-07,Overheating
KBZ 333R,Tractor,Fuel Pump,Fuel System,FarmEquip Co,10254.71,2025-06-01,Engine noise
KBZ 333R,Tractor,Hydraulic Pump,Hydraulics,MechWorks,13442.7,2025-05-19,Battery issue
KBZ 333R,Tractor,Radiator,Cooling System,BKT,8089.65,2025-04-19,Hydraulic issue
KBZ 333R,Tractor,Air Filter,Air Intake,TechFix,11184.52,2025-01-30,Brake failure
KBZ 333R,Tractor,Tyre,Wheels,BKT,9348.47,2024-09-25,Oil leak
KDL 787R,Tractor,Oil Filter,Engine,PartsPlus,2962.11,2025-04-03,Battery issue
KDL 787R,Tractor,Radiator,Cooling System,Aeolus,3362.75,2025-03-21,Brake failure
KDL 787R,Tractor,Tyre,Wheels,BKT,3535.19,2024-07-28,Battery issue
KDL 787R,Tractor,Air Filter,Air Intake,JKT,7336.44,2024-09-16,Overheating
KDL 787R,Tractor,Alternator,Electrical,DieselParts,10998.42,2024-10-20,Brake failure
KDM 806C,Tractor,Brake Pads,Braking System,JKT,11648.5,2025-02-26,Brake failure
KDM 806C,Tractor,Spark Plug,Ignition,Goodyear,12120.06,2024-10-12,Overheating
KDM 806C,Tractor,Alternator,Electrical,DieselParts,12341.92,2024-10-21,Engine noise
KDM 806C,Tractor,Alternator,Electrical,TechFix,7789.02,2025-03-15,Battery issue
KDM 806C,Tractor,Air Filter,Air Intake,TechFix,12531.75,2024-09-18,Hydraulic issue
KDM 806C,Tractor,Tyre,Wheels,BKT,2035.59,2024-11-24,Hydraulic issue
KBX 768S,Tractor,Battery,Electrical,BKT,3651.33,2024-09-23,Electrical fault
KBX 768S,Tractor,Hydraulic Pump,Hydraulics,PowerAuto,9511.51,2025-03-13,Hydraulic issue
KBX 768S,Tractor,Brake Pads,Braking System,TechFix,9611.22,2025-03-09,Engine noise
KBX 768S,Tractor,Alternator,Electrical,DieselParts,12140.37,2024-10-11,Tyre worn out
KBX 768S,Tractor,Fuel Pump,Fuel System,JKT,3452.13,2025-02-18,Overheating
KBX 768S,Tractor,Tyre,Wheels,JKT,8369.34,2024-11-12,Engine noise
KBX 768S,Tractor,Hydraulic Pump,Hydraulics,Gallant,8884.67,2024-11-04,Electrical fault
KDM 421E,Tractor,Air Filter,Air Intake,DieselParts,10778.79,2025-01-28,Electrical fault
KDM 421E,Tractor,Radiator,Cooling System,TechFix,9998.77,2024-07-24,Overheating
KDM 421E,Tractor,Fuel Pump,Fuel System,FarmEquip Co,8068.21,2024-07-28,Overheating
KDM 421E,Tractor,Spark Plug,Ignition,Gallant,10487.55,2025-02-17,Low power
KDM 421E,Tractor,Alternator,Electrical,PowerAuto,10301.26,2024-10-02,Electrical fault
KDM 421E,Tractor,Air Filter,Air Intake,HeavyDuty Supplies,6775.8,2025-04-15,Oil leak
KDM 421E,Tractor,Hydraulic Pump,Hydraulics,DieselParts,8603.24,2024-07-13,Routine service
KBZ 975C,Tractor,Brake Pads,Braking System,Goodyear,9846.46,2025-04-19,Tyre worn out
KBZ 975C,Tractor,Spark Plug,Ignition,FarmEquip Co,14799.14,2024-09-01,Battery issue
KBZ 975C,Tractor,Brake Pads,Braking System,Goodyear,10867.27,2025-05-16,Hydraulic issue
KBZ 975C,Tractor,Oil Filter,Engine,PartsPlus,3770.66,2025-04-19,Overheating
KBZ 975C,Tractor,Oil Filter,Engine,JKT,9857.01,2024-07-16,Overheating
KBZ 975C,Tractor,Brake Pads,Braking System,HeavyDuty Supplies,12165.59,2025-02-06,Battery issue
KBZ 344V,Tractor,Air Filter,Air Intake,TechFix,14757.26,2025-06-01,Hydraulic issue
KBZ 344V,Tractor,Alternator,Electrical,DieselParts,14094.74,2025-04-01,Low power
KBZ 344V,Tractor,Brake Pads,Braking System,TechFix,1814.03,2024-08-18,Brake failure
KBZ 344V,Tractor,Fuel Pump,Fuel System,PowerAuto,9444.44,2025-01-02,Engine noise
KBZ 344V,Tractor,Radiator,Cooling System,BKT,10640.86,2024-07-02,Tyre worn out
KBZ 344V,Tractor,Alternator,Electrical,DieselParts,11056.66,2024-07-18,Brake failure
KBZ 344V,Tractor,Brake Pads,Braking System,FarmEquip Co,3950.77,2024-07-02,Brake failure
KBZ 344V,Tractor,Alternator,Electrical,FarmEquip Co,10168.02,2024-08-16,Tyre worn out
KDG 396N,Tractor,Radiator,Cooling System,TechFix,9690.41,2024-07-22,Routine service
KDG 396N,Tractor,Oil Filter,Engine,DieselParts,7494.31,2024-11-01,Hydraulic issue
